,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/nby/apa/d/3-bdrm-2-bath-home-on-mount/6569290765.html,3BR,2Ba,available apr 1,house,0,0,0,0,0,0,0,11,138,https://sfbay.craigslist.org/nby/apa/d/3-bdrm-2-bath-home-on-mount/6569290765.html
https://sfbay.craigslist.org/nby/apa/d/3-bed-2-bath-home-for-rent-in/6560183570.html,3BR,2Ba,1440ft2,house,3,2,1,1,0,0,0,17,97,https://sfbay.craigslist.org/nby/apa/d/3-bed-2-bath-home-for-rent-in/6560183570.html
https://sfbay.craigslist.org/nby/apa/d/3-bed-2-bath-home-for-rent-in/6560203670.html,3BR,2Ba,1440ft2,house,3,2,1,1,0,0,0,17,98,https://sfbay.craigslist.org/nby/apa/d/3-bed-2-bath-home-for-rent-in/6560203670.html
https://sfbay.craigslist.org/nby/apa/d/3-bed-25-bath-newer-house-in/6568862616.html,3BR,2.5Ba,1479ft2,house,3,6,0,0,0,1,0,19,176,https://sfbay.craigslist.org/nby/apa/d/3-bed-25-bath-newer-house-in/6568862616.html
https://sfbay.craigslist.org/nby/apa/d/3-bedroom-2-bath-available/6564632679.html,3BR,2Ba,1440ft2,house,3,2,1,1,0,0,0,12,97,https://sfbay.craigslist.org/nby/apa/d/3-bedroom-2-bath-available/6564632679.html
https://sfbay.craigslist.org/nby/apa/d/3-bedrooms-25-bathrooms/6565594256.html,3BR,2.5Ba,available apr 19,house,5,6,0,0,0,1,0,24,349,https://sfbay.craigslist.org/nby/apa/d/3-bedrooms-25-bathrooms/6565594256.html
https://sfbay.craigslist.org/nby/apa/d/3-bedrooms-perfect-for-you/6569243691.html,3BR,2Ba,1400ft2,apartment,5,0,1,1,0,1,0,16,246,https://sfbay.craigslist.org/nby/apa/d/3-bedrooms-perfect-for-you/6569243691.html
https://sfbay.craigslist.org/nby/apa/d/3br-15ba-your-new-home-is/6560520713.html,3BR,1.5Ba,1200ft2,apartment,5,4,1,1,0,1,0,8,259,https://sfbay.craigslist.org/nby/apa/d/3br-15ba-your-new-home-is/6560520713.html
https://sfbay.craigslist.org/nby/apa/d/4-bd-3-ba-single-family-home/6546427878.html,4BR,3Ba,1850ft2,apartment,5,6,0,0,0,1,0,12,183,https://sfbay.craigslist.org/nby/apa/d/4-bd-3-ba-single-family-home/6546427878.html
https://sfbay.craigslist.org/nby/apa/d/4-bedrooms-plus-bonus-room-3/6569267493.html,4BR,3.5Ba,4323ft2,house,5,6,0,0,0,0,0,24,271,https://sfbay.craigslist.org/nby/apa/d/4-bedrooms-plus-bonus-room-3/6569267493.html
https://sfbay.craigslist.org/nby/apa/d/415-enterprise-drive/6557409654.html,2BR,1.5Ba,924ft2,condo,3,0,0,0,0,1,0,9,153,https://sfbay.craigslist.org/nby/apa/d/415-enterprise-drive/6557409654.html
https://sfbay.craigslist.org/nby/apa/d/5-bedroom-3-bathroom-house-in/6551166192.html,5BR,3Ba,2500ft2,apartment,3,6,1,1,0,0,1,4,38,https://sfbay.craigslist.org/nby/apa/d/5-bedroom-3-bathroom-house-in/6551166192.html
https://sfbay.craigslist.org/nby/apa/d/6-bedroom-3-full-bath-located/6564620033.html,6BR,3Ba,2430ft2,house,3,2,1,1,0,0,0,15,128,https://sfbay.craigslist.org/nby/apa/d/6-bedroom-3-full-bath-located/6564620033.html
https://sfbay.craigslist.org/nby/apa/d/6180-stoetz-lane/6569328299.html,2BR,2Ba,1600ft2,house,3,2,1,0,0,0,0,23,46,https://sfbay.craigslist.org/nby/apa/d/6180-stoetz-lane/6569328299.html
https://sfbay.craigslist.org/nby/apa/d/733-paula-lane/6550111121.html,1BR,1Ba,available apr 2,in-law,5,2,0,0,0,1,0,22,205,https://sfbay.craigslist.org/nby/apa/d/733-paula-lane/6550111121.html
https://sfbay.craigslist.org/nby/apa/d/8-hawthorne-court-unit/6563801898.html,2BR,1Ba,available apr 17,duplex,5,0,1,1,0,1,0,15,174,https://sfbay.craigslist.org/nby/apa/d/8-hawthorne-court-unit/6563801898.html
https://sfbay.craigslist.org/nby/apa/d/8032-carlsisle-way/6547301646.html,4BR,3Ba,2245ft2,house,5,6,0,0,0,1,0,24,136,https://sfbay.craigslist.org/nby/apa/d/8032-carlsisle-way/6547301646.html
https://sfbay.craigslist.org/nby/apa/d/8100-carlisle-way-3-bed-2/6569183771.html,3BR,2.5Ba,2026ft2,house,0,0,0,0,0,0,0,18,195,https://sfbay.craigslist.org/nby/apa/d/8100-carlisle-way-3-bed-2/6569183771.html
https://sfbay.craigslist.org/nby/apa/d/8690-nina-court/6564635630.html,3BR,2Ba,1260ft2,house,3,6,0,0,0,1,0,21,178,https://sfbay.craigslist.org/nby/apa/d/8690-nina-court/6564635630.html
https://sfbay.craigslist.org/nby/apa/d/absolutely-stunning-1600/6554020935.html,1BR,1Ba,1603ft2,house,3,2,0,0,0,0,0,24,133,https://sfbay.craigslist.org/nby/apa/d/absolutely-stunning-1600/6554020935.html
https://sfbay.craigslist.org/nby/apa/d/adorable-1br-1ba-home/6569389794.html,1BR,1Ba,616ft2,apartment,5,4,1,1,0,1,0,9,479,https://sfbay.craigslist.org/nby/apa/d/adorable-1br-1ba-home/6569389794.html
https://sfbay.craigslist.org/nby/apa/d/adorably-remodeled-1-bedroom/6564052796.html,1BR,1Ba,available apr 17,cottage/cabin,5,2,0,0,0,0,0,6,289,https://sfbay.craigslist.org/nby/apa/d/adorably-remodeled-1-bedroom/6564052796.html
https://sfbay.craigslist.org/nby/apa/d/amazing-1-bedroom-1-bath-with/6559270469.html,1BR,1Ba,600ft2,apartment,4,4,0,0,0,1,0,9,215,https://sfbay.craigslist.org/nby/apa/d/amazing-1-bedroom-1-bath-with/6559270469.html
https://sfbay.craigslist.org/nby/apa/d/amazing-1bd-1bth-wood-floors/6569487183.html,1BR,1Ba,810ft2,apartment,5,5,1,1,0,1,1,6,385,https://sfbay.craigslist.org/nby/apa/d/amazing-1bd-1bth-wood-floors/6569487183.html
https://sfbay.craigslist.org/nby/apa/d/amazing-view-2-bedroom-with/6569439771.html,2BR,1Ba,800ft2,apartment,5,6,0,0,0,0,0,10,92,https://sfbay.craigslist.org/nby/apa/d/amazing-view-2-bedroom-with/6569439771.html
https://sfbay.craigslist.org/nby/apa/d/amazing-views-2-bedrooms-1/6559310308.html,2BR,1Ba,800ft2,apartment,4,4,0,0,0,1,0,7,244,https://sfbay.craigslist.org/nby/apa/d/amazing-views-2-bedrooms-1/6559310308.html
https://sfbay.craigslist.org/nby/apa/d/amazing-views-sophisticated/6567009745.html,5BR,4Ba,4000ft2,house,4,2,0,1,1,1,0,24,490,https://sfbay.craigslist.org/nby/apa/d/amazing-views-sophisticated/6567009745.html
https://sfbay.craigslist.org/nby/apa/d/and-you-break-into-your-happy/6564834914.html,1BR,1Ba,695ft2,apartment,5,4,1,1,0,1,0,10,374,https://sfbay.craigslist.org/nby/apa/d/and-you-break-into-your-happy/6564834914.html
https://sfbay.craigslist.org/nby/apa/d/apartment-available-in/6567001705.html,1BR,1Ba,661ft2,apartment,2,3,1,1,0,1,1,8,129,https://sfbay.craigslist.org/nby/apa/d/apartment-available-in/6567001705.html
https://sfbay.craigslist.org/nby/apa/d/apartment-available-in/6569353075.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,8,128,https://sfbay.craigslist.org/nby/apa/d/apartment-available-in/6569353075.html
https://sfbay.craigslist.org/nby/apa/d/apartment-for-rent-in/6565730044.html,0BR,1Ba,available mar 13,apartment,4,0,0,0,0,0,0,4,70,https://sfbay.craigslist.org/nby/apa/d/apartment-for-rent-in/6565730044.html
https://sfbay.craigslist.org/nby/apa/d/apartment/6564622786.html,2BR,1Ba,900ft2,apartment,0,4,0,0,0,1,0,9,96,https://sfbay.craigslist.org/nby/apa/d/apartment/6564622786.html
https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6566885362.html,2BR,1Ba,885ft2,apartment,2,3,1,1,0,1,1,9,129,https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6566885362.html
https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569290023.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,8,124,https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569290023.html
https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569320277.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,8,124,https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569320277.html
https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569390786.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,6,120,https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6569390786.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma-tennis/6565656628.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,7,119,https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma-tennis/6565656628.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6564027200.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,7,131,https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6564027200.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6564156070.html,2BR,1Ba,1028ft2,townhouse,5,3,1,1,0,1,1,9,124,https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6564156070.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6565684305.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,8,121,https://sfbay.craigslist.org/nby/apa/d/apartments-in-petaluma/6565684305.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-the-heart-of/6566920843.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,8,120,https://sfbay.craigslist.org/nby/apa/d/apartments-in-the-heart-of/6566920843.html
https://sfbay.craigslist.org/nby/apa/d/apartments-in-the-middle-of/6569491735.html,2BR,1.5Ba,1028ft2,apartment,2,3,1,1,0,1,1,9,121,https://sfbay.craigslist.org/nby/apa/d/apartments-in-the-middle-of/6569491735.html
https://sfbay.craigslist.org/nby/apa/d/available-midmay2018-upstairs/6569260492.html,1BR,1Ba,available apr 23,apartment,5,4,1,1,0,1,0,9,330,https://sfbay.craigslist.org/nby/apa/d/available-midmay2018-upstairs/6569260492.html
https://sfbay.craigslist.org/nby/apa/d/available-now-bright-condo-in/6552026046.html,2BR,2Ba,available apr 4,condo,5,4,0,0,0,1,0,11,125,https://sfbay.craigslist.org/nby/apa/d/available-now-bright-condo-in/6552026046.html
https://sfbay.craigslist.org/nby/apa/d/available-now-spacious-4bed/6568871903.html,4BR,3Ba,2100ft2,house,5,6,0,0,0,1,1,22,243,https://sfbay.craigslist.org/nby/apa/d/available-now-spacious-4bed/6568871903.html
https://sfbay.craigslist.org/nby/apa/d/available-now-spacious-4bed/6568872155.html,4BR,3Ba,2100ft2,house,5,6,0,0,0,1,1,23,246,https://sfbay.craigslist.org/nby/apa/d/available-now-spacious-4bed/6568872155.html
https://sfbay.craigslist.org/nby/apa/d/available-today-renovated-2/6569332011.html,2BR,2Ba,available apr 23,apartment,2,4,1,1,0,1,0,21,227,https://sfbay.craigslist.org/nby/apa/d/available-today-renovated-2/6569332011.html
https://sfbay.craigslist.org/nby/apa/d/avaliable-now-up-stairs-unit/6564213396.html,1BR,1Ba,650ft2,apartment,2,4,1,0,0,0,0,4,71,https://sfbay.craigslist.org/nby/apa/d/avaliable-now-up-stairs-unit/6564213396.html
https://sfbay.craigslist.org/nby/apa/d/be-the-first-tenants-to-live/6558308443.html,2BR,1Ba,available apr 11,condo,5,6,0,0,0,0,0,11,146,https://sfbay.craigslist.org/nby/apa/d/be-the-first-tenants-to-live/6558308443.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-1x1-2nd-floor-unit/6566095264.html,1BR,1Ba,663ft2,apartment,2,2,1,1,0,1,0,5,166,https://sfbay.craigslist.org/nby/apa/d/beautiful-1x1-2nd-floor-unit/6566095264.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-apartments-in/6564645775.html,1BR,1Ba,661ft2,apartment,2,3,1,1,0,1,1,9,131,https://sfbay.craigslist.org/nby/apa/d/beautiful-apartments-in/6564645775.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-condo-in-walking/6551856087.html,2BR,2Ba,980ft2,condo,5,4,0,0,0,1,0,12,146,https://sfbay.craigslist.org/nby/apa/d/beautiful-condo-in-walking/6551856087.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-four-bedroom-north/6551994606.html,4BR,2Ba,2096ft2,house,3,6,0,0,0,0,0,22,150,https://sfbay.craigslist.org/nby/apa/d/beautiful-four-bedroom-north/6551994606.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-home-in-newer/6552654445.html,4BR,3Ba,2500ft2,house,0,0,0,0,0,0,0,19,215,https://sfbay.craigslist.org/nby/apa/d/beautiful-home-in-newer/6552654445.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-lake-views-with/6546280241.html,4BR,2Ba,available feb 21,house,5,5,0,0,0,1,0,19,263,https://sfbay.craigslist.org/nby/apa/d/beautiful-lake-views-with/6546280241.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-open-format/6566849115.html,1BR,1Ba,440ft2,in-law,0,0,0,0,0,1,0,5,135,https://sfbay.craigslist.org/nby/apa/d/beautiful-open-format/6566849115.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-petaluma-apartments/6564091767.html,1BR,1Ba,661ft2,apartment,2,3,1,1,0,1,1,9,123,https://sfbay.craigslist.org/nby/apa/d/beautiful-petaluma-apartments/6564091767.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-townhome-2-bedroom/6569252141.html,2BR,1Ba,990ft2,townhouse,5,4,1,0,0,1,0,9,247,https://sfbay.craigslist.org/nby/apa/d/beautiful-townhome-2-bedroom/6569252141.html
https://sfbay.craigslist.org/nby/apa/d/beautiful-townhome-apartment/6559513361.html,2BR,1Ba,990ft2,townhouse,5,4,0,0,0,1,0,9,251,https://sfbay.craigslist.org/nby/apa/d/beautiful-townhome-apartment/6559513361.html
https://sfbay.craigslist.org/nby/apa/d/beautifully-appointed-1x1/6569201010.html,1BR,1Ba,available may 17,apartment,0,0,0,0,0,0,0,6,234,https://sfbay.craigslist.org/nby/apa/d/beautifully-appointed-1x1/6569201010.html
https://sfbay.craigslist.org/nby/apa/d/beautifully-furnished-3/6551935530.html,3BR,2.5Ba,1553ft2,townhouse,5,6,0,1,1,1,0,21,189,https://sfbay.craigslist.org/nby/apa/d/beautifully-furnished-3/6551935530.html
https://sfbay.craigslist.org/nby/apa/d/bennett-valley/6566839360.html,2BR,1Ba,1050ft2,apartment,2,4,1,0,0,1,0,8,94,https://sfbay.craigslist.org/nby/apa/d/bennett-valley/6566839360.html
https://sfbay.craigslist.org/nby/apa/d/blocks-from-downtown/6553270623.html,2BR,1Ba,1500ft2,house,3,3,1,1,0,1,0,12,91,https://sfbay.craigslist.org/nby/apa/d/blocks-from-downtown/6553270623.html
https://sfbay.craigslist.org/nby/apa/d/brand-new-espositi-park/6552844922.html,2BR,1Ba,available apr 5,apartment,2,4,0,0,0,1,0,9,261,https://sfbay.craigslist.org/nby/apa/d/brand-new-espositi-park/6552844922.html
https://sfbay.craigslist.org/nby/apa/d/brand-new-single-level/6560124131.html,2BR,2.5Ba,2200ft2,house,5,6,0,0,0,0,0,22,340,https://sfbay.craigslist.org/nby/apa/d/brand-new-single-level/6560124131.html
https://sfbay.craigslist.org/nby/apa/d/breathtaking-bay-views/6552150666.html,1BR,1Ba,664ft2,apartment,4,4,0,0,0,0,0,14,115,https://sfbay.craigslist.org/nby/apa/d/breathtaking-bay-views/6552150666.html
https://sfbay.craigslist.org/nby/apa/d/bright-and-spacious-2x1-in/6557346912.html,2BR,1Ba,750ft2,apartment,2,4,1,1,0,1,0,18,230,https://sfbay.craigslist.org/nby/apa/d/bright-and-spacious-2x1-in/6557346912.html
https://sfbay.craigslist.org/nby/apa/d/bright-and-updated-2x1-with-d/6557508810.html,2BR,1Ba,810ft2,apartment,5,4,1,1,0,1,0,16,225,https://sfbay.craigslist.org/nby/apa/d/bright-and-updated-2x1-with-d/6557508810.html
https://sfbay.craigslist.org/nby/apa/d/bright-walk-to-town-2bd-1-5ba/6550045629.html,2BR,1.5Ba,available apr 7,condo,5,4,0,0,0,1,0,14,395,https://sfbay.craigslist.org/nby/apa/d/bright-walk-to-town-2bd-1-5ba/6550045629.html
https://sfbay.craigslist.org/nby/apa/d/calistoga-duplex-walk-to-town/6569433745.html,1BR,1Ba,500ft2,duplex,3,3,0,0,0,1,0,7,94,https://sfbay.craigslist.org/nby/apa/d/calistoga-duplex-walk-to-town/6569433745.html
https://sfbay.craigslist.org/nby/apa/d/calistoga-napa-valley/6560312517.html,2BR,2.5Ba,1250ft2,townhouse,5,6,1,1,1,1,0,12,248,https://sfbay.craigslist.org/nby/apa/d/calistoga-napa-valley/6560312517.html
https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6559529733.html,2BR,2Ba,993ft2,apartment,0,0,0,0,0,0,0,9,239,https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6559529733.html
https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6567512271.html,2BR,2Ba,1210ft2,apartment,5,0,1,1,0,1,0,9,237,https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6567512271.html
https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6569184470.html,2BR,2Ba,995ft2,apartment,0,0,0,0,0,0,0,9,246,https://sfbay.craigslist.org/nby/apa/d/central-heat-and-air/6569184470.html
https://sfbay.craigslist.org/nby/apa/d/central-san-rafael-2-bedroom/6569044786.html,2BR,1Ba,available apr 27,apartment,2,4,0,0,0,1,0,6,78,https://sfbay.craigslist.org/nby/apa/d/central-san-rafael-2-bedroom/6569044786.html
https://sfbay.craigslist.org/nby/apa/d/charming-1bd-1ba-cottage/6546278167.html,1BR,1Ba,available mar 29,cottage/cabin,2,3,1,1,0,1,0,10,466,https://sfbay.craigslist.org/nby/apa/d/charming-1bd-1ba-cottage/6546278167.html
https://sfbay.craigslist.org/nby/apa/d/charming-2br-15bath-sycamore/6569383511.html,2BR,1.5Ba,1200ft2,house,4,2,0,0,0,0,0,15,158,https://sfbay.craigslist.org/nby/apa/d/charming-2br-15bath-sycamore/6569383511.html
